_OccupationRole,_Rank,Author,Company,Date,Employment,Occupation,Place,Review,Rating
,,"Graphic Designer (Former Employee) - Singapur, PR - January 22, 2019",Charles-&-Keith,22/1/19,Former Employee,Graphic Designer,"Singapur, PR","Cheating staffs payroll after the resignation Not paying the amout deserved using some hr terms The worst e-commerce graphic team lead with anger issues Hr is not trustworthy Will cheat you even though you deserve it or if its even a small amount regardless how long you had served them",1
Sales,Manager,"Store manager (Current Employee) - Jordana, Murcia provincia - December 8, 2018",Charles-&-Keith,8/12/18,Current Employee,Store manager,"Jordana, Murcia provincia",en charles and kieth he aprendido muchos cosas por ejemplo cómo puedo a comunicar con los clientes cómo puedo a líder y cómo controlar la situación difícil,5
,,"Promoter (Former Employee) - Mall of the Emirates - November 22, 2018",Charles-&-Keith,22/11/18,Former Employee,Promoter,Mall of the Emirates,The promoting job was very helpful for getting an experience into the clothing market but the job was very tough as we had to work for 10 hours straight with only an hour of break. But I had learnt a lot from this internship and it helped me throughout to understand how the clothing fashion line works.,3
,Executive,"Executive (Former Employee) - singapore - September 25, 2018",Charles-&-Keith,25/9/18,Former Employee,Executive,singapore,"typical local start up companyvery traditional valuesno good benefitsstrict attendance supervision very nice office building with gym and kitchen for staff to cook",2
,Manager,"Assistant Manager (Former Employee) - Singapore - August 12, 2018",Charles-&-Keith,12/8/18,Former Employee,Assistant Manager,Singapore,a good company with management recognising the hard work of people and give promotion who perform well in job. a great place to work in for people who just started out workingg,5
,,"Fashion Consultant (Former Employee) - Kolkata, West Bengal - July 29, 2018",Charles-&-Keith,29/7/18,Former Employee,Fashion Consultant,"Kolkata, West Bengal",Charles & Keith offered a lot of insight into the fashion world and allowed me to be a part of what customers wanted and how to attract them further. It helped me understand what was in trend and how to present it to the customers on a daily basis.,4
Sales,Manager,"Assistant Store Manager (Former Employee) - Delhi, Delhi - July 6, 2018",Charles-&-Keith,6/7/18,Former Employee,Assistant Store Manager,"Delhi, Delhi","My journey with the company was amazing got to work closely with the senior management and was worth working in the company, They hold most international renowned franchise businesses under major brands umbrella,",5
Sales,,"Sales Advisor (Former Employee) - Islamabad - May 25, 2018",Charles-&-Keith,25/5/18,Former Employee,Sales Advisor,Islamabad,Fun and interactive workplace encouraging its employees to start a conversation with the clients. Getting to know what people want also helping them to understand their need.,4
Sales,,"SALES ASSOCIATE (Former Employee) - Ezdan Mall doha Qatar. - May 9, 2018",Charles-&-Keith,9/5/18,Former Employee,SALES ASSOCIATE,Ezdan Mall doha Qatar.,It was very nice job and professional experienced. It is not hard to sell because the brand was very well known in the world high class and good quality. I am proud to work in this brand.,5
Sales,,"Store Supervisor (Former Employee) - sm north edsa, philippines - April 8, 2018",Charles-&-Keith,8/4/18,Former Employee,Store Supervisor,"sm north edsa, philippines","As a supervisor you need to know everything on your store and also all the work of your staff, you have to patience and very energetic and a good example to your staff, and i need to adjust also on the working time because the shift is changing everyday, in more than 1 year working in charles and keith ive learned a lot and i really used that on my present work",4
Sales,,"Sales assistant (Former Employee) - Sepang - January 18, 2018",Charles-&-Keith,18/1/18,Former Employee,Sales assistant,Sepang,"So far so good,  i think i want to hold my position at that company but i have alot commitment before so i start to arrange everything then quit that job to start my carrier.",3
Sales,,"Retail Sales (Former Employee) - Wisma Atria - January 13, 2018",Charles-&-Keith,13/1/18,Former Employee,Retail Sales,Wisma Atria,"Most enjoyable part of job is when customer is satisfied with your service.To come to work with positive mindset will get you through the day even if you are tired",3
Sales,Manager,"Store Manager (Former Employee) - Yerevan, AM - December 12, 2017",Charles-&-Keith,12/12/17,Former Employee,Store Manager,"Yerevan, AM","Briefing every morning with top management,discuss yesterdays sales.Learned patience, lead,manage, deal with unhappy customers.make them loyal to our store.hardest part was receiving big quantity of products and organize in stock and store in few hours.the best part was when team working hard and u see the results and be proud of your job.",5
,Manager,"Commercial Manager (International Business) (Current Employee) - Singapore - November 7, 2017",Charles-&-Keith,7/11/17,Current Employee,Commercial Manager,Singapore,International brand with good presence in Asia. Good brand to get hands on experience on all areas of business. Low growth potential as the organisation has a flat reporting structure.,3
,,"Warehouse Assistant (Current Employee) - Tai Seng - November 7, 2017",Charles-&-Keith,7/11/17,Current Employee,Warehouse Assistant,Tai Seng,A typical day at work and I learned about company system and scanner.And the hardest part is unload containers with box by box. The enjoyable part of job is daily pickings.,3
,,"Management Trainee (Former Employee) - Singapore - October 26, 2017",Charles-&-Keith,26/10/17,Former Employee,Management Trainee,Singapore,I work at charles and keith as Mangement Trainee because its required in our school (on the job training) for 1 year. Charles and Keith is one of the best company because you will learn a more knowledge and especially to deal with other person/culture in a nice way. You need a patience.,5
,,"Packer (Former Employee) - Charles & Keith HQ - August 11, 2017",Charles-&-Keith,11/8/17,Former Employee,Packer,Charles & Keith HQ,Working at Charles & Keith has opened my eyes into the world of e-commerce. It was busy throughout the day but management was encouraging and i got a sense of fulfillment at the end of every workday,4
Sales,Executive,"Sales Executive/Display in Charge/Fashion advisor (Current Employee) - Philippines - August 1, 2017",Charles-&-Keith,1/8/17,Current Employee,Sales Executive/Display in Charge/Fashion advisor,Philippines,"Working in Charles and keith is a great experience with me.A lot of learnings,trainings, and knowledge that helps to boost my self confidence.For me every day is a learning day in Charles and keith.In terms of management,they actually followed what should be the  standard policies and procedure.            I enjoyed working with bunch of my colleagues.Charles and Keith serves as my 2nd family.",5
Customer Service,Manager,"Customer Service Assistant Manager (E-Commerce) (Former Employee) - Tai Seng - May 21, 2017",Charles-&-Keith,21/5/17,Former Employee,Customer Service Assistant Manager,Tai Seng,i enjoy the open communication. this is also a plus point when resolving disagreements. clarity and opportunity to speak and be heard is also greatly appreciated,3
Sales,,"store keeper (Former Employee) - one utama - May 19, 2017",Charles-&-Keith,19/5/17,Former Employee,store keeper,one utama,"I'm working for the first day, I was briefed on the scope of my work. I am a trainer who would help me to set what I have to do the work for a time. At the beginning, I thought about the product, how to recognize a product, and the difference of each product. so I learned where the position of a product to be easy for me to find if the customer wants it. All the systems in place, so it makes it easier for employees to work attempting respectively. All employees help each other. it helps speed things work. The hardest part of this job is to treat customers who do not understand in some situations. But, of course the customer is always right. That is our principle. The most enjoyable part is when all the staff work as a team. they dont mind if you are new staff or what, they still treat you as a part of the family.",3
Marketing,Executive,"Marketing Executive (Former Employee) - Tai Seng - April 12, 2017",Charles-&-Keith,12/4/17,Former Employee,Marketing Executive,Tai Seng,"Started off with what was supposed to be an amazing journey. I learnt a lot each day, every other day was an eye-opener for me. The culture, the people and the trade itself. To sum it up, it was a life changing experience.",3
Sales,,"Sales Assistant (Former Employee) - Canal Walk, Western Cape - March 6, 2017",Charles-&-Keith,6/3/17,Former Employee,Sales Assistant,"Canal Walk, Western Cape",Charles & Keith is a boutique that falls under the Foschini Group brand. The store in Canal Walk is one of the two in Cape Town. This was my first working experience after high school and the staff and management made it a very pleasant one. I learnt good communication skills as I worked with customers everyday and they challenged me to work toward an incentive.,3
Sales,,"SALES REPRESENTATIVE (PART TIME) (Former Employee) - Subang Jaya - February 18, 2017",Charles-&-Keith,18/2/17,Former Employee,SALES REPRESENTATIVE,Subang Jaya,"Nice place to work when you want to do your part time or semester break. Learn how to attract more with customernot tense to workthe most enjoyable time when makes customer satisfied",4
Sales,,"Retail Assisstant (Former Employee) - Bandar Sunway - January 14, 2017",Charles-&-Keith,14/1/17,Former Employee,Retail Assisstant,Bandar Sunway,This company provides and train to manage and arrange the sales according to the delivery order. Applicable learning experience on managing the products.,4
Sales,,"Sales Associate (Former Employee) - Bahrain - December 30, 2016",Charles-&-Keith,30/12/16,Former Employee,Sales Associate,Bahrain,"Customer service oriented, with the ability to meet sales goals.  Possess strong ability to prospect, negotiate, and close sales. Excellent communication skills. Confidence and motivation. Good organisational and time management skills. Determination and the drive to work towards targets. The skills to work both independently and as part of a team. Strong presentation skills.",5
Sales,,"SALES ASSISTANT (Former Employee) - Doha - November 16, 2016",Charles-&-Keith,16/11/16,Former Employee,SALES ASSISTANT,Doha,"During my tenure with Charles & Keith, I have different tasks done. It starts with opening the shop, doing housekeeping, arranging display items, making sure we are following the proper brand visual merchandising guidelines. Customer service is our priority tasks. to make sure that we make more link sell and a good transaction value with one customer.The management is has always been in good terms with employees.My co workers with Charles & Keith were all motivated and we work well to achieve our target.The hardest part of the job is not achieving targets and no incentive in a month. The most enjoyable part of the job is whenever we get customers who give us more sale, having multiple sales and achieving shop target.",5
Sales,,"Sales Girl (Former Employee) - ION - March 31, 2016",Charles-&-Keith,31/3/16,Former Employee,Sales Girl,ION,"It was my first job after O Levels and after working for other places I realized that I was really underpaid.  I don't really like working in retail so much plus you do not even get free food or benefits nor transport home.",3
Sales,Manager,"Store Manager (Current Employee) - Hyderabad, AP - October 20, 2015",Charles-&-Keith,20/10/15,Current Employee,Store Manager,"Hyderabad, AP","It the time of Eoss, we as a team use to work in straight with our team mutual understanding in terms to generate the sale  businessi believe in customer satisfaction & use to motivate my team ...my store was recognized for services and identical sales . overall it was fantastic to work with my company i fell in retail every day is learning",4
,Manager,"Area Manager (Former Employee) - Goregaon, MH - October 7, 2015",Charles-&-Keith,7/10/15,Former Employee,Area Manager,"Goregaon, MH",It was good working with Charles & Keith. The store team for all stores were good and I completely enjoyed working in that culture.,3
Sales,,"Retail Supervisor (Current Employee) - Putrajaya, M16 - September 26, 2015",Charles-&-Keith,26/9/15,Current Employee,Retail Supervisor,"Putrajaya, M16","Everything in daily work was make me improve in handling store issue. I was learned a lot of how to control the stock and any kind of different customer issue. Management was very helpful in term of Inventory wise and HR. The hardest part is to maintained the stock issue for avoid any losses. The enjoyable in this company, we treat each of people as a friend and sharing the problem with other store and get the advise with other team for solve the problem. Its more to the team work and help each others.",4
Sales,Manager,"Asst. Store Manager (Current Employee) - delhi - January 16, 2015",Charles-&-Keith,16/1/15,Current Employee,Asst. Store Manager,delhi,"Thankful and Great full to the company, for providing with the opportunity for becoming ASM, but due to no growth i have to take a call. 4 stores in Delhi. All Store Manager working from last 4-5 years. so if they are not going forward, then how come i see me growing.",4
Technician,,"Technician and design advisor (Former Employee) - C30 - September 17, 2014",Charles-&-Keith,17/9/14,Former Employee,Technician and design advisor,C30,"Amateurs in all aspects  starting from the management.No real technical skills are requested in this company",2
,,"Head Cashier (Former Employee) - Philippines - September 14, 2014",Charles-&-Keith,14/9/14,Former Employee,Head Cashier,Philippines,Start your day with a smile with your responsible and productive co workers.,3
,Intern,"Internship (Former Employee) - Singapore - March 16, 2014",Charles-&-Keith,16/3/14,Former Employee,Internship,Singapore,"Charles and Keith is a local women's shoe retailer, that became one of the more successful companies in Singapore. Following their success in the local market, they went on to set up many more outlets and various other countries. I was an intern at the International department, where I had the opportunity to learn the processes and operations the company undertakes in order for their foreign outlets to be successful. I spent each week working with different people from operations, sales, shipping, merchandising and warehouse management, so that I could understand the way the International department functions. At the end of the entire internship, I had to deliver a presentation suggesting five different problems I identified, and the solutions to those problems.",4
Sales,,"Store Supervisor (Former Employee) - singapore - September 14, 2013",Charles-&-Keith,14/9/13,Former Employee,Store Supervisor,singapore,being a manager is at first i have to deal with my staffs make them well groomed before entertaining a customer. i learned how to handle managerial position. they always make my work light and happy. hardest is to check and make reports about the store. enjoyable part if the customer is fulfilled with the item they bought.,3
Analysts,,"Senior Developer (Current Employee) - Central Business District - May 24, 2019",Dbs-Bank,24/5/19,Current Employee,Senior Developer,Central Business District,"The company have a lot of training and encourage employees to study and improve themselves. Learn a lot because DBS always apply the latest technologies",4
,,"Salles (Former Employee) - Harmoni - November 19, 2020",Dbs-Bank,19/11/20,Former Employee,Salles,Harmoni,Saya senang karena menantang saya bahagia karena saya mencintai pekerjaan saya,4
Customer Service,Executive,"Customer portfolio executive (Former Employee) - Mumbai, Maharashtra - October 25, 2020",Dbs-Bank,25/10/20,Former Employee,Customer portfolio executive,"Mumbai, Maharashtra",I have join dbs on 9th march2020 as a cpe we are open digital salary acount and during the lockdown dbs more focus on insurance in terms of revenue and we sale the insurance every month and try to achive my target,3
,,"Associate (Current Employee) - Mumbai, Maharashtra - September 5, 2020",Dbs-Bank,5/9/20,Current Employee,Associate,"Mumbai, Maharashtra",Good co to work withNiceGood mgmtAmazing officeHR policies are goodLeaves are goodLot to learn for someone switching to MNC#################################################,4
Analysts,,"Senior Systems Analyst (Former Employee) - Changi Business Park - September 2, 2020",Dbs-Bank,2/9/20,Former Employee,Senior Systems Analyst,Changi Business Park,"My jobscope was changed suddenly on my first day of work. I did not have the expertise and experience in the new role. Ex-boss was racist and only cared for his staff who had the same nationality as him. I was treated unfairly. I was involved in 24 hr work shift, doing production support. I was asked to work in the afternoon shift from 2 pm to 11 pm. I was not allowed to make transport claim after work. Then I realised that I was the only one who could not make the transport claim. My ex-colleagues who worked in the same shift as me, could claim their taxi fares. I asked my ex-boss about this discrepancy. He denied whatever he had said. This is not the only instance when I was treated unfairly. And I am a Singaporean, while he was only holding  a Work Pass Permit. I am one of the 3 Singaporeans under him. The rest are all Work Permit Holders from the same country. I wanted to complain to HR but I could not as I was a contract staff. ",1
Analysts,,"Senior Java Developer (Current Employee) - Changi - August 25, 2020",Dbs-Bank,25/8/20,Current Employee,Senior Java Developer,Changi,Contractors would be treated like a work slaves. Employees are expected to work on weekends. They take it granted without concerning about developers burnt-out,2
Customer Service,,"Customer Support Trade Specialist (Former Employee) - Singapore - August 10, 2020",Dbs-Bank,10/8/20,Former Employee,Customer Support Trade Specialist,Singapore,"Great working environment, fair and good opportunity given.People are overall friendly and helpful.  They have a very good technology initiatives suited for modern banking",4
,,"Specialist Operations (Former Employee) - Mumbai, Maharashtra - August 4, 2020",Dbs-Bank,4/8/20,Former Employee,Specialist Operations,"Mumbai, Maharashtra","Bank was very good and work culture also good but not productive as other bank not good for new learner, there is no one ask for creativity and trying to complete the job within the TAT. Everyone just want to enjoy in DBS culture.  One more thing there are HR department are very strong.",3
,,"Agent DBS (Former Employee) - Jakarta selatan - July 16, 2020",Dbs-Bank,16/7/20,Former Employee,Agent DBS,Jakarta selatan,Suatu pekerjaan di bank sebagai karyawan harus extra hati hati dengan masalah yang di hadapi oleh calon nasbah tersebut dan membandingkan fitur dalam bank tersebut di era digital.jadi sebagai karyawan kita harus paham era digital smua bank.,4
Customer Service,Officer,"Customer Service Officer (Former Employee) - Jurong East - July 15, 2020",Dbs-Bank,15/7/20,Former Employee,Customer Service Officer,Jurong East,"High-paying but stressful, offers longer annual leaves and fair amount of medical leave.  Negative side is hard to find the balance between work and family due to amount of time-dedication.",5
Customer Service,,"Service Desk Analyst Desktop Support (Former Employee) - Changi Business Park - June 29, 2020",Dbs-Bank,29/6/20,Former Employee,Service Desk Analyst Desktop Support,Changi Business Park,"Its a good experience working with DBS , its a Asia leading bank and the environment is fun. So much of social activities making the staff feel appreciated.",4
,,"Assistant Vice President Risk & Control (Current Employee) - Hong Kong, HK - June 23, 2020",Dbs-Bank,23/6/20,Current Employee,Assistant Vice President - Risk & Control,"Hong Kong, HK","There is good risk culture in DBS bank, as they are willing to have case sharing across countries to arise staff's risk awareness. Besides, management encourage to use new technology to solve the problem.",4
Customer Service,Executive,"Customer Service Executive (Current Employee) - Nariman Point, Mumbai, Maharashtra - June 21, 2020",Dbs-Bank,21/6/20,Current Employee,Customer Service Executive,"Nariman Point, Mumbai, Maharashtra",I liked the work culture. Explored many things.Got to learn a lot as this is first job. DBS has flexible working hours and work from home benefits as well . People in all levels are very cooperative.,4
Customer Service,Executive,"Customer Service Executive (Former Employee) - Chennai, Tamil Nadu - June 17, 2020",Dbs-Bank,17/6/20,Former Employee,Customer Service Executive,"Chennai, Tamil Nadu",nice organisation employees are well educated. nice training they provided for me. I learnt good things in my life. i also learnt to behave with new peoples,5
,,"Institutional Banking Operations Risk & Control Associate (Current Employee) - Changi - June 2, 2020",Dbs-Bank,2/6/20,Current Employee,Institutional Banking Operations Risk & Control Associate,Changi,"Engagement with Line Ops on a daily basis on areas pertaining to Risk and Control.Team is collaborative and helpful.Interacting with Line Ops. The team.",3
,Executive,"Service Executive (Former Employee) - Singapore - May 30, 2020",Dbs-Bank,30/5/20,Former Employee,Service Executive,Singapore,"it depends where we are posted. if you're posted to the branches, your opportunity to grow or earn a higher than the decent amount will be robbed almost instantly. they will randomly throw new roles and duties to staff such as insurance sale or loan officer at you and you're expected to learn and push for sales asap as it will be included in your KPI. you bonus is highly dependent on your sales of insurance, not your work ethics or performance as a service staff. you can give the best service to customers but your bonus will be zero if you don't force insurance sales on customers. branch management is usually extremely poor and the managers/leaders are horribly biased and unprofessional. some managers/seniors get very personal with staff and conveniently forget to behave in a professional manner. complaining to HR just worsen the treatment in the branch as the people in the branch will not treat you kindly after knowing you burst their bubble. The working hours are longer than expected and there is no compensation for the extra time you put in. once in a while you will receive items like nuts or muffins for your hard work, not extra pay or a justified bonus. the managers are not helpful and you live with stress every minute in the job as they are just out to expose your mistakes. one mistake made will be used as leverage for them to scare you throughout the year. you will be reminded of it during your appraisal when they reveal how little bonus you're getting. colleagues are average although most of them are backstabbers or rats. it is not an enjoyable workplace, neither does - more...",1
,Intern,"Wealth Management Intern (Former Employee) - Singapore - May 27, 2020",Dbs-Bank,27/5/20,Former Employee,Wealth Management Intern,Singapore,"People were very encouraging and the working environment is very dynamic, every day you can experience something new. The training you experience as a new hire/intern readily puts you at the best of your condition to meet the requirements in the client-facing role.",5
Sales,Officer,"Sales Officer (Current Employee) - East Singapore - May 27, 2020",Dbs-Bank,27/5/20,Current Employee,Sales Officer,East Singapore,"Competitive and fun work environment with a lot of opportunity to grow as an individual. Be it sales pitching skills, or personal development, DBS never fail to keep pushing every working employee to become the best they can be.",5
Business Development,,"Business Analyst (Current Employee) - Changi - May 26, 2020",Dbs-Bank,26/5/20,Current Employee,Business Analyst,Changi,"Diverse culture. Can learn a lot. Though there are a lot of Indians working there, they bring a lot of out of the box solutions to the table. Great working with a diverse set of people.",4
,Executive,"Bank Executive (Former Employee) - Chinatown - May 24, 2020",Dbs-Bank,24/5/20,Former Employee,Bank Executive,Chinatown,Good Bank that is strategically located and carries out day to day functions for people. Has a lot of people that are skilled in dealing with money and earning.,5
,Manager,"PMO, Scrum Master & Change Manager (Former Employee) - Singapore - April 15, 2020",Dbs-Bank,15/4/20,Former Employee,"PMO, Scrum Master & Change Manager",Singapore,Friendly colleagues and comfortable working environment. The company basically treat their employee equally and nice. There is re-org every year. I have learned a lot of stakeholder management and project management here.,4
,,"Security (Former Employee) - Jakarta - April 12, 2020",Dbs-Bank,12/4/20,Former Employee,Security,Jakarta,Ya mungkin cukup 3 tahun saja saya bekerja di PT.BANK DBS,3
,Manager,"Wealth Planning Manager (Current Employee) - White Sands Shopping Mall - April 12, 2020",Dbs-Bank,12/4/20,Current Employee,Wealth Planning Manager,White Sands Shopping Mall,The hardest part of the job will be having a lot of self-discipline and to stay highly motivated on a daily basis. It is a very fast-paced environment.,4
Sales,,"Telesales (Former Employee) - Jakarta Selatan - April 5, 2020",Dbs-Bank,5/4/20,Former Employee,Telesales,Jakarta Selatan,"Ya namanya juga TELESALES,,gaji nya cuma 2 juta,,kalau mau pendapatan lebih harus dapat BANYAK Nasabah yg Di Acc pinjamannya, Jam kerja EXTREM ( jam 8.00 s/d 19.00 )..Dapat ilmu cara berkomunikasi",1
Administration,Administration,"Admin Support (Former Employee) - Changi - March 31, 2020",Dbs-Bank,31/3/20,Former Employee,Admin Support,Changi,"Generally informal environmentLots of group events and activitiesManagement styles differ according to departmentLot of staff movementCramped working spaceFriendly team",4
Customer Service,,"Customer Service (Former Employee) - Wan Chai - March 25, 2020",Dbs-Bank,25/3/20,Former Employee,Customer Service,Wan Chai,"Willing to learn, our team work ok. Work hard to get bonus and commission. Work on time, be a responsible person. I resign because I had family problem. Help Company retrieve the sales target. I worked most happily in DBS.",5
Analysts,Manager,"Analyst, Wealth Planning Manager (Bancassurance) (Current Employee) - Singapore - March 24, 2020",Dbs-Bank,24/3/20,Current Employee,"Analyst, Wealth Planning Manager",Singapore,"Current role allows one to learn based on experience, knowledge and engagement. Work environment is conducive. Must be able to adapt to changes and change of environment. At the same time, must be able to put in long hours, dedication and commitment to produce excellent results and prompt customer service.",3
,Intern,"Intern (Former Employee) - Marina Bay - March 13, 2020",Dbs-Bank,13/3/20,Former Employee,Intern,Marina Bay,"I was only an intern at DBS so am unable to provide a very accurate view of working in the company, but the company culture is great, and has great benefits for its employees, especially those of higher ranks.",4
